Kanji,Kana,POS,Meaning,Example
訳す,やくす,vt,to translate,"
"
話しかける,はなしかける,vt,to start a conversation,"
"
話し合い,はなしあい,"n,vs",discussion,"
"
説明書,せつめいしょ,n,instructions; manual,"
"
～課,～か,ctr,counter for chapters in a book,"
"
豆腐,とうふ,n,tofu; bean curd; beancurd,"
"
起き上がる,おきあがる,vi,to rise; to get up,"
"
超える,こえる,vt,to exceed,"
"
身体,しんたい,n,body; person,"
"
近づく,ちかづく,vi,to approach; to draw near,"
"
返却,へんきゃく,"n,vs",return; repayment,"
"
迷う,まよう,vi,to be lose one's way; to be puzzled,"
"
送信,そうしん,"n,vs",transmission; sending,"
"
～途端,～とたん,adv,just as; at the moment of,"
"
通信販売,つうしんはんばい,"n,adj-no",mail order,"
"
週末,しゅうまつ,"n-adv,n",weekend,"
"
違いない,ちがいない,exp,sure; for certain; no mistaking it,"
"
間違いない,まちがいない,exp,sure; for certain; no mistaking it,"
"
配送,はいそう,"n,vs",delivery,"
"
重傷,じゅうしょう,n,serious wound; serious injury,"
"
間違う,まちがう,"vi,vt",to make a mistake; to be mistaken,"
"
陰,かげ,n,shade; shadow,"
"
音楽家,おんがくか,n,musician,"
"
頃,ころ、ごろ,"n,n-adv,n-suf",approximate time; around; about,"
"
飛び出す,とびだす,vi,to jump out; to rush out,"
"
食中毒,しょくちゅうどく,n,food poisoning,"
"
鳴き声,なきごえ,"n,vs",animal cry; roar; chirp; tweet,"
"
いたずら,いたずら,"n,vs,adj-na,adj-no",prank; trick; fooling around with,"
"
おしゃべり,おしゃべり,"n,vs",chattering; chitchat; gossip,"
"
あいにく,あいにく,"adj-na,adv,n,adj-no","unfortunately; Sorry, but","
"
くしゃみ,くしゃみ,n,sneeze,"
"
せき,せき,n,cough,"
"
あくび,あくび,n,yawn,"
"
あちこち,あちこち,adv,here and there; all around,"
"
あらゆる,あらゆる,adj,all; every,"
"
あるいは,あるいは,"conj,exp",or; possibly,"
"
あんまり,あんまり,adv,not very; not much | surplus; excess,"
"
いずれ,いずれ,"adv,adj-no",anyway; anyhow | at some future date or time,"
"
頂きます,いただきます,exp,expression of gratitude before meals,"
"
いちご,いちご,n,strawberry,"
"
いつでも,いつでも,adv,any time; whenever,"
"
いつまでも,いつまでも,adv,forever; as long as one likes; indefinitely,"
"
いわゆる,いわゆる,adj,the so-called,"
"
うがい,うがい,"n,vs",(uk) gargling; rinsing one's mouth,"
"
うどん,うどん,n,udon; thick Japanese noodles,"
"
うなぎ,うなぎ,n,eel,"
"
おそらく,おそらく,adv,perhaps; likely; probably,"
"
おめでとうございます,おめでとうございます,exp,congratulations!,"
"
おめでとう,おめでとう,exp,congratulations!,"
"
およそ,およそ,adv,about; roughly; approximately,"
"
かゆい,かゆい,adj-i,itchy,"
"
かわいそう,かわいそう,adj-na,pathetic; pitiful,"
"
こしょう,こしょう,n,pepper,"
"
これら,これら,n,these,"
"
さて,さて,conj,well now; then,"
"
さらに,さらに,"adv,conj",furthermore; moreover,"
"
しかも,しかも,conj,furthermore | nevertheless; and yet,"
"
しきりに,しきりに,adv,frequently; repeatedly,"
"
したがって,したがって,conj,therefore; consequently,"
"
しっぽ,しっぽ,n,tail,"
"
しばしば,しばしば,adv,often; repeatedly,"
"
しまった,しまった,int,damn it!; oops!,"
"
しゃべる,しゃべる,vi,to talk; to chat,"
"
しわ,しわ,n,wrinkle,"
"
すなわち,すなわち,conj,that is; i.e.,"
"
すみません,すみません,exp,excuse me; I'm sorry,"
"
そこで,そこで,conj,so; accordingly,"
"
そのうち,そのうち,adv,eventually; sooner or later,"
"
そのまま,そのまま,"adv,adj-no",as it is (was),"
"
そば,そば,n,beside; near,"
"
それぞれ,それぞれ,"adv,adj-no",each; respectively,"
"
それでも,それでも,conj,but (still); even so,"
"
それとも,それとも,conj,or; or else,"
"
たとえ,たとえ,adv,even if; no matter,"
"
たびたび,たびたび,adv,often; again and again,"
"
たまらない,たまらない,adj-i,unbearable | irresistible,"
"
だいたい,だいたい,"adv,n",generally; approximately,"
"
ちょうだい,ちょうだい,"n,vs",(hum) to receive; (hum) to eat; to drink,"
"
つまり,つまり,adv,that is; in other words,"
"
つらい,つらい,adj-i,painful; heart-breaking,"
"
ところが,ところが,conj,despite; however,"
"
ところで,ところで,conj,by the way,"
"
とにかく,とにかく,adv,anyhow; at any rate,"
"
どうしても,どうしても,adv,at any cost; no matter what,"
"
どこか,どこか,n,somewhere; anywhere,"
"
なお,なお,conj,furthermore; still,"
"
なぜなら,なぜなら,conj,because; the reason is,"
"
にんじん,にんじん,n,carrot,"
"
はさみ,はさみ,n,scissors,"
"
はちみつ,はちみつ,n,honey,"
"
ひび,ひび,"n,adj-no",crack; rift,"
"
蓋,ふた,n,cover; lid,"
"
ふと,ふと,adv,suddenly; casually; accidentally,"
"
ほぼ,ほぼ,adv,almost; approximately,"
"
まさに,まさに,adv,exactly; certainly | right then; just then,"
"
ますます,ますます,adv,increasingly; more and more,"
"
まるで,まるで,adv,entirely; completely,"
"
もしも,もしも,adv,if,"
"
やがて,やがて,adv,before long; soon | finally; in the end,"
"
～によると,～によると,exp,according to ～,"
"
わがまま,わがまま,"adj-na,n",selfishness,"
"
わざと,わざと,adv,on purpose,"
"
わざわざ,わざわざ,adv,specially; especially; intentionally,"
"
あこがれる,あこがれる,vi,to long for,"
"
あせる,あせる,vi,to be in a hurry; to be flustered,"
"
宛先,あてさき,n,destination; addressee,"
"
いっせいに,いっせいに,adv,simultaneously; all at once,"
"
うなる,うなる,vi,to groan; to moan,"
"
エビ,えび,n,shrimp,"
"
おじ,おじ,n,uncle,"
"
おば,おば,n,aunty,"
"
おまえ,おまえ,"pn,adj-no",you (familiar person),"
"
お詫び,おわび,"n,vs",apology,"
"
かわいらしい,かわいらしい,adj-i,lovely; sweet,"
"
くやしい,くやしい,adj-i,frustrating; regrettable,"
"
しかたない,しかたない,exp,it can't be helped,"
"
席（せき）,せき,n,seat,"
"
潰す,つぶす,vt,to smash; to crush,"
"
何も,なにも,n,nothing (with neg. verbs),"
"
蜂,はち,n,bee,"
"
スズメバチ,すずめばち,n,wasp,"
"
あんなに,あんなに,adv,to that extent,"
"
嫌な,いやな,adj-na,unpleasant,"
"
嘘をつく,うそをつく,vi,to (tell a) lie,"
"
お昼,おひる,n,lunch; noon break,"
"
お相撲さん,おすもうさん,n,sumowrestler,"
"
お祈り,おいのり,"n,vs",a wish,"
"
お茶会,おちゃかい,n,tea party,"
"
かっこいい,かっこいい,adj-i,cool; looking good,"
"
ぐつぐつ,ぐつぐつ,"n,vs",simmering,"
"
ケチ,けち,adj-na,stingy; miser,"
"
この辺り,このあたり,n,this area; around here,"
"
合格者,合格者,n,person who passed,"
"
ごめんなさい,ごめんなさい,exp,I'm sorry; excuse me,"
"
しょうがない,しょうがない,exp,it can't be helped,"
"
じっと,じっと,"adv,vs",intently; stoically; quietly,"
"
できれば,できれば,adv,if at all possible,"
"
入会,にゅうかい,"n,vs",becoming a member; joining a group,"
"
喉が乾く,のどがかわく,"exp,vi",to be thirsty,"
"
腹が立つ,はらがたつ,"exp,vi",to be angry,"
"
ばらばら,ばらばら,adv,unorganized; disarrayed,"
"
本日,ほんじつ,n,today,"
"
やる気が出る,やるきがでる,vi,to become motivated,"
"
ゆっくり,ゆっくり,"adv-to,vs",slowly; at easy,"
"
予約制,よやくせい,adj-no,by reservation,"
"
我が～,わが～,n,our ～,"我が社
our company"
インターンシップ,インターンシップ,n,internship,"
"
ウイルスソフト,ウイルスソフト,n,anti-virus software,"
"
カビ,カビ,n,mold,"
"
ガーデニング,ガーデニング,"n,vs",gardening,"
"
キュウリ,キュウリ,n,cucumber,"
"
クーポン券,クーポンけん,n,coupon,"
"
グループディスカッション,グループディスカッション,n,group discussion,"
"
ゴールを決める,コールをきめる,vi,to score a goal,"
"
サプリ,サプリ,n,"supplement (drug, medicine)","
"
サプリメント,サプリメント,n,"supplement (drug, medicine)","
"
サポート,サポート,"n,vs",support,"
"
ショッピング,ショッピング,"n,vs",shopping,"
"
ストレスがたまる,ストレスがたまる,vi,to build up stress,"
"
スポーツクラブ,スポーツクラブ,n,sports club; sports gym,"
"
スポーツ選手,スポーツせんしゅ,n,athlete,"
"
デジカメ,デジカメ,n,digital camera,"
"
なす,なす,n,eggplant,"
"
ネットショッピング,ネットショッピング,"n,vs",online shopping,"
"
ネット,ネット,n,internet; (physical) net,"
"
はと,はと,n,pigeon,"
"
バーベキュー,バーベキュー,n,barbeque,"
"
パリ,パリ,n,Paris,"
"
ビニール袋,ビニールぶくろ,n,plastic bag,"
"
フィンランド,フィンランド,n,Finland,"
"
プレゼン,プレゼン,"n,vs",presentation,"
"
ヨーロッパ,ヨーロッパ,n,Europe,"
"
ランチ,ランチ,n,lunch,"
"
レシピ,レシピ,n,recipe,"
"
ワイワイ,ワイワイ,"adv,vs",boisterously; lively,"
"
ワンルーム,ワンルーム,"n,adj-no",one-room (apartment),"
"
上記,じょうき,"n,adj-no",the above (text),"
"
下記,かき,"n,adj-no",the below (text),"
"
不便をかける,ふべんをかける,vi,to cause inconvenience,"
"
交通安全,こうつうあんぜん,n,traffic safety,"
"
人混み,ひとごみ,n,a crowd of people,"
"
付き合い,つきあい,n,association; socializing,"
"
仲良い,なかいい,adj-i,be friendly with,"
"
仲が良い,なかがいい,adj-i,be friendly with,"
"
体を壊す,からだをこわす,exp,to hurt one's health,"
"
保険証,ほけんしょう,n,insurance card,"
"
信頼関係,しんらいかんけい,n,trusting relationship,"
"
入会金,にゅうかいきん,n,initial membership fee,"
"
写真家,しゃしんか,n,photographer,"
"
出席率,しゅっせきりつ,n,attendance rate,"
"
力を合わせる,ちからをあわせる,vi,to combine efforts,"
"
～率,～りつ,n,～ rate; portion of ～,"
"
化粧品,けしょうひん,n,cosmetics,"
"
卒業論文,そつぎょうろんぶん,n,graduation thesis,"
"
参考になる,さんこうになる,vi,to be of use (as a reference),"
"
取り直す,とりなおす,vt,to re-obtain,"
"
取引先,とりひきさき,n,customer; client,"
"
味付け,あじつけ,"n,vs","flavoring, seasoning","
"
商店街,しょうてんがい,n,shopping area; shopping arcade,"
"
営業時間,えいぎょうじかん,n,business hours,"
"
営業部,えいぎょうぶ,n,sales department,"
"
声をかける,こえをかける,vi,to call someone,"
"
大事故,だいじこ,n,major accident; major incident,"
"
子犬,こいぬ,n,puppy,"
"
子育て,こそだて,n,raising a child,"
"
寝不足,ねぶそく,n,lack of sleep,"
"
専門分野,せんもんぶんや,n,area of expertise; specialization,"
"
山ほど,やまほど,"n,adv",a lot; a great amount of,"
"
希望者,きぼうしゃ,n,applicant,"
"
徐々に,じょじょに,adv,steadily; little by little,"
"
息が切れる,いきがきれる,vi,to be out of breath,"
"
息が止まる,いきがとまる,vi,to stop breathing,"
"
成人式,せいじんしき,n,coming-of-age ceremony,"
"
指導員,しどういん,n,instructor,"
"
新入社員,しんにゅうしゃいん,n,new employee,"
"
新商品,しんしょうひん,n,new product,"
"
新製品,しんせいひん,n,new (manufactured) product,"
"
正社員,せいしゃいん,n,full-time employee,"
"
洗い流す,あらいながす,vt,to rinse off,"
"
洗濯物,せんたくもの,n,laundry,"
"
特に～ない,とくに～ない,exp,not particularly ～,"
"
生クリーム,なまクリーム,n,whipped cream,"
"
目が回る,めがまわる,vi,to be dizzy,"
"
経済学,けいざいがく,n,(study of) economics,"
"
背が伸びる,せがのびる,vi,to grow (height),"
"
自信がつく,じしんがつく,vi,to gain confidence,"
"
物入れ,ものいれ,n,container/place to put things,"
"
観光地,かんこうち,n,tourist attraction,"
"
調子が悪い,ちょうしがわるい,adj-i,feeling sick,"
"
気分が悪い,きぶんがわるい,adj-i,not feeling well,"
"
迷惑メール,めいわくメール,n,spam (email),"
"
陽気,ようき,adj-na,cheerful; lively,"
"
電気自動車,えんきじどうしゃ,n,electric car; electric vehicle,"
"
韓国語,かんこくご,n,Korean language,"
"
食材,しょくざい,n,food stuffs; ingredients,"
"
髪型,かみがた,n,hair style,"
"
